WalletAddress,Points,Rank,Reward,TradeCount,TradeVolume,CCCount
0xDF6ec450b5acA97f387A592D81f4702621d3B80A,7783.368725,1,3000,3210,5660845.47,0
0x99E34112072cEe5c6B0a364d40BFf61AaA6228dD,2289.25955,2,2000,267,1831269.42,0
0x7868c526AB9CA2DE9229c58F3A750D257e92D074,701.015425,3,1000,1,8650.34,701
0xb52A40770F109c0C85426931CdaEfd2144EE186e,672.239405,4,570,2282,300043.35,0
0x22e37400956f3D1795D1343C16B118920B083914,380.1108875,5,570,692,904097.37,3
0x739471806a3124635C224CefD72361494B2F9EEF,270.07405,6,570,1597,212104.49,0
0xA27a477Cb9f358D24c613650C01e4a7D967B4012,254.9790375,7,570,5313,404178.68,2
0x07004f9a689534C35aeE40ee2cBFd516e0596858,250.86875,8,570,721,200217.16,0
0x3F6e473d9457452952026C6a77eA79A469D8bdd3,215.1629962,9,570,336,747019.25,5
0x16e0ab91E9fE3c38A089c65971631eAF700B20C5,189.17755,10,570,555,6359348.52,63
0x198944f109c4E87523DAE53980ba783d7cc370cC,182.738215,11,657.857574,77,7378.29,1
0x12E41E4f6F90c9278e6bE537A19B7052b9d965F1,174.7567862,12,629.1244305,138,4721221.71,73
0x0Ec5015dd2B57Cd01b4Af6607D459b1dE208Cc18,132.6056,13,477.38016,2104,411537.92,4
0x926CceCAb55bec70C839a51b8c18ac687F8e39dF,132.5898262,14,477.3233745,6,294896.8,110
0x572Dcbbc2AbF4110EF9Ac4470B4E464011148b5F,127.1583375,15,457.770015,689,101726.67,0
0xe183f26E052717b076919e2522e726AF0a8c812d,126.80305,16,456.49098,238,100642.44,1
0x1E943f25E4EE5e8388eA4db46d3D4eB396AEA483,86.05499,17,309.797964,226,52398.74,0
0xd9e25125f359c070d9d6187eE09d0CE86F54D695,78.87199375,18,283.9391775,41,57361.45,0
0x670F04B537BC9682F9fb00399468376aC951bf40,67.0509375,19,241.383375,128,53640.75,0
0x1774E786cA5bd1FfaE8237e7a78A43fD9a2e4Ab9,63.253825,20,227.71377,35,50603.06,0
0x259c1EC355E1C81bF8bF5EC5AdBEb3d60203F592,50.6520825,21,182.347497,801,36835.86,0
